Title,Artist,First Name,Date
Open Your Heart,Madonna,Madonna,1/31/1987
At This Moment,Billy Vera & The Beaters,Billy,1/24/1987
Shake You Down,Gregory Abbott,Gregory,1/10/1987
Walk Like An Egyptian,The Bangles,The,1/3/1987
The Way It Is,Bruce Hornsby & The Range,Bruce,12/6/1986
The Next Time I Fall,Peter Cetera With Amy Grant,Peter,11/29/1986
You Give Love A Bad Name,Bon Jovi,Bon,11/22/1986
Human,The Human League,The,11/15/1986
Amanda,Boston,Boston,11/8/1986
True Colors,Cyndi Lauper,Cyndi,10/25/1986
When I Think Of You,Janet Jackson,Janet,10/11/1986
Stuck With You,Huey Lewis & The News,Huey,9/27/1986
"Take My Breath Away (Love Theme From ""Top Gun"")",Berlin,Berlin,9/6/1986
Venus,Bananarama,Bananarama,8/30/1986
Higher Love,Steve Winwood,Steve,8/23/1986
Papa Don't Preach,Madonna,Madonna,8/16/1986
"Glory Of Love (Theme From ""The Karate Kid Part II"")",Peter Cetera,Peter,8/2/1986
Sledgehammer,Peter Gabriel,Peter,7/19/1986
Invisible Touch,Genesis,Genesis,7/12/1986
Holding Back The Years,Simply Red,Simply,7/5/1986
There'll Be Sad Songs (To Make You Cry),Billy Ocean,Billy,6/28/1986
On My Own,Patti LaBelle & Michael McDonald,Patti,6/21/1986
Live To Tell,Madonna,Madonna,5/31/1986
Greatest Love Of All,Whitney Houston,Whitney,5/24/1986
West End Girls,Pet Shop Boys,Pet,5/3/1986
Addicted To Love,Robert Palmer,Robert,4/26/1986
Kiss,Prince And The Revolution,Prince,4/19/1986
Rock Me Amadeus,Falco,Falco,4/5/1986
These Dreams,Heart,Heart,3/15/1986
Sara,Starship,Starship,3/8/1986
Kyrie,Mr. Mister,Mr.,3/1/1986
How Will I Know,Whitney Houston,Whitney,2/15/1986
That's What Friends Are For,Dionne & Friends,Dionne,2/1/1986
"Say You, Say Me",Lionel Richie,Lionel,1/4/1986
Broken Wings,Mr. Mister,Mr.,12/7/1985
Separate Lives,Phil Collins and Marilyn Martin,Phil,11/23/1985
We Built This City,Starship,Starship,11/16/1985
Miami Vice Theme,Jan Hammer,Jan,11/2/1985
Part-Time Lover,Stevie Wonder,Stevie,10/26/1985
Saving All My Love For You,Whitney Houston,Whitney,10/19/1985
Take On Me,a-ha,a-ha,10/12/1985
Oh Sheila,Ready For The World,Ready,10/5/1985
Money For Nothing,Dire Straits,Dire,9/28/1985
St. Elmo's Fire (Man In Motion),John Parr,John,9/7/1985
Shout,Tears For Fears,Tears,8/10/1985
Everytime You Go Away,Paul Young,Paul,7/20/1985
A View To A Kill,Duran Duran,Duran,7/13/1985
Sussudio,Phil Collins,Phil,6/29/1985
Heaven,Bryan Adams,Bryan,6/22/1985
Everybody Wants To Rule The World,Tears For Fears,Tears,6/8/1985
Everything She Wants,Wham!,Wham!,5/25/1985
Don't You (Forget About Me),Simple Minds,Simple,5/11/1985
Crazy For You,Madonna,Madonna,5/4/1985
We Are The World,USA For Africa,USA,4/27/1985
Can't Fight This Feeling,REO Speedwagon,REO,3/16/1985
Careless Whisper,Wham! Featuring George Michael,Wham!,2/23/1985
I Want To Know What Love Is,Foreigner,Foreigner,2/2/1985
Like A Virgin,Madonna,Madonna,1/19/1985
Out Of Touch,Daryl Hall John Oates,Daryl,12/8/1984
Wake Me Up Before You Go-Go,Wham!,Wham!,11/24/1984
Caribbean Queen (No More Love On The Run),Billy Ocean,Billy,11/3/1984
I Just Called To Say I Love You,Stevie Wonder,Stevie,10/20/1984
Let's Go Crazy,Prince And The Revolution,Prince,9/29/1984
Missing You,John Waite,John,9/15/1984
What's Love Got To Do With It,Tina Turner,Tina,9/8/1984
Ghostbusters,Ray Parker Jr.,Ray,8/18/1984
When Doves Cry,Prince,Prince,7/28/1984
The Reflex,Duran Duran,Duran,6/23/1984
Time After Time,Cyndi Lauper,Cyndi,6/9/1984
Let's Hear It For The Boy,Deniece Williams,Deniece,5/26/1984
Against All Odds (Take A Look At Me Now),Phil Collins,Phil,4/28/1984
Footloose,Kenny Loggins,Kenny,4/7/1984
Karma Chameleon,Culture Club,Culture,2/11/1984
Owner Of A Lonely Heart,Yes,Yes,1/21/1984
Say Say Say,Paul McCartney And Michael Jackson,Paul,1/7/1984
All Night Long (All Night),Lionel Richie,Lionel,11/26/1983
Islands In The Stream,Kenny Rogers Duet With Dolly Parton,Kenny,10/29/1983
Total Eclipse Of The Heart,Bonnie Tyler,Bonnie,10/15/1983
Tell Her About It,Billy Joel,Billy,9/17/1983
Maniac,Michael Sembello,Michael,9/10/1983
Sweet Dreams (Are Made Of This),Eurythmics,Eurythmics,8/27/1983
Every Breath You Take,The Police,Sting,8/20/1983
Flashdance...What A Feeling,Irene Cara,Irene,6/25/1983
Let's Dance,David Bowie,David,5/14/1983
Beat It,Michael Jackson,Michael,5/7/1983
Come On Eileen,Dexy's Midnight Runners,Dexy's,4/16/1983
Billie Jean,Michael Jackson,Michael,4/9/1983
"Baby, Come To Me",Patti Austin A Duet With James Ingram,Patti,2/19/1983
Down Under,Men At Work,Men,2/5/1983
Africa,Toto,Toto,1/29/1983
Maneater,Daryl Hall John Oates,Daryl,1/1/1983
Mickey,Toni Basil,Toni,12/4/1982
Truly,Lionel Richie,Lionel,11/27/1982
Up Where We Belong,Joe Cocker And Jennifer Warnes,Joe,11/13/1982
Who Can It Be Now?,Men At Work,Men,10/23/1982
Jack & Diane,John Cougar,John,10/16/1982
Abracadabra,The Steve Miller Band,The,9/18/1982
Hard To Say I'm Sorry,Chicago,Chicago,9/11/1982
Eye Of The Tiger,Survivor,Survivor,8/21/1982
Don't You Want Me,The Human League,The,7/10/1982
Ebony And Ivory,Paul McCartney And Stevie Wonder,Paul,6/19/1982
Chariots Of Fire - Titles,Vangelis,Vangelis,5/1/1982
I Love Rock 'N Roll,Joan Jett & the Blackhearts,Joan,4/24/1982
Centerfold,The J. Geils Band,The,3/6/1982
I Can't Go For That (No Can Do),Daryl Hall John Oates,Daryl,1/23/1982
Physical,Olivia Newton-John,Olivia,1/16/1982
Private Eyes,Daryl Hall John Oates,Daryl,11/7/1981
Arthur's Theme (Best That You Can Do),Christopher Cross,Christopher,10/24/1981
Endless Love,Diana Ross & Lionel Richie,Diana,10/3/1981
Jessie's Girl,Rick Springfield,Rick,8/1/1981
The One That You Love,Air Supply,Air,7/18/1981
Bette Davis Eyes,Kim Carnes,Kim,7/11/1981
Medley,Stars On 45,Stars,6/13/1981
Morning Train (Nine To Five),Sheena Easton,Sheena,5/2/1981
Kiss On My List,Daryl Hall John Oates,Daryl,4/18/1981
Rapture,Blondie,Blondie,3/28/1981
Keep On Loving You,REO Speedwagon,REO,3/14/1981
9 To 5,Dolly Parton,Dolly,3/7/1981
I Love A Rainy Night,Eddie Rabbitt,Eddie,2/28/1981
Celebration,Kool & The Gang,Kool,2/7/1981
The Tide Is High,Blondie,Blondie,1/24/1981
(Just Like) Starting Over,John Lennon,John,1/17/1981
Lady,Kenny Rogers,Kenny,12/13/1980
Woman In Love,Barbra Streisand,Barbra,11/1/1980
Another One Bites The Dust,Queen,Freddie,10/11/1980
Upside Down,Diana Ross,Diana,9/20/1980
Sailing,Christopher Cross,Christopher,8/23/1980
Magic,Olivia Newton-John,Olivia,8/16/1980
It's Still Rock And Roll To Me,Billy Joel,Billy,7/19/1980
Coming Up (Live At Glasgow),Paul McCartney And Wings,Paul,7/5/1980
Funkytown,"Lipps, Inc.","Lipps,",6/14/1980
Call Me,Blondie,Blondie,5/17/1980
Another Brick In The Wall (Part II),Pink Floyd,Roger,4/5/1980
Crazy Little Thing Called Love,Queen,Freddie,3/8/1980
Do That To Me One More Time,Captain & Tennille,Captain,2/9/1980
Rock With You,Michael Jackson,Michael,2/2/1980
Escape (The Pina Colada Song),Rupert Holmes,Rupert,1/5/1980
Please Don't Go,KC And The Sunshine Band,KC,12/29/1979
Babe,Styx,Styx,12/8/1979
No More Tears (Enough Is Enough),Barbra Streisand/Donna Summer,Barbra,11/24/1979
Still,Commodores,Commodores,11/10/1979
Heartache Tonight,Eagles,Eagles,11/3/1979
Pop Muzik,M,M,10/27/1979
Rise,Herb Alpert,Herb,10/20/1979
Don't Stop 'til You Get Enough,Michael Jackson,Michael,10/6/1979
Sad Eyes,Robert John,Robert,9/29/1979
My Sharona,The Knack,The,9/22/1979
Good Times,Chic,Chic,8/11/1979
Bad Girls,Donna Summer,Donna,8/4/1979
Ring My Bell,Anita Ward,Anita,6/30/1979
Hot Stuff,Donna Summer,Donna,6/16/1979
Love You Inside Out,Bee Gees,Barry,6/2/1979
Love You Inside Out,Bee Gees,Robin,6/2/1979
Love You Inside Out,Bee Gees,Maurice,6/2/1979
Reunited,Peaches & Herb,Peaches,5/19/1979
Heart Of Glass,Blondie,Blondie,4/21/1979
Knock On Wood,Amii Stewart,Amii,4/14/1979
What A Fool Believes,The Doobie Brothers,The,4/7/1979
I Will Survive,Gloria Gaynor,Gloria,3/31/1979
Tragedy,Bee Gees,Barry,3/24/1979
Tragedy,Bee Gees,Robin,3/24/1979
Tragedy,Bee Gees,Maurice,3/24/1979
Da Ya Think I'm Sexy?,Rod Stewart,Rod,2/24/1979
Le Freak,Chic,Chic,1/27/1979
Too Much Heaven,Bee Gees,Barry,1/6/1979
Too Much Heaven,Bee Gees,Robin,1/6/1979
Too Much Heaven,Bee Gees,Maurice,1/6/1979
You Don't Bring Me Flowers,Barbra Streisand & Neil Diamond,Barbra,12/9/1978
MacArthur Park,Donna Summer,Donna,11/18/1978
You Needed Me,Anne Murray,Anne,10/28/1978
Hot Child In The City,Nick Gilder,Nick,10/21/1978
Kiss You All Over,Exile,Exile,10/14/1978
Boogie Oogie Oogie,A Taste Of Honey,A,9/16/1978
Grease,Frankie Valli,Frankie,8/26/1978
Three Times A Lady,Commodores,Commodores,8/12/1978
Miss You,The Rolling Stones,Mick,7/29/1978
Shadow Dancing,Andy Gibb,Andy,7/22/1978
You're The One That I Want,John Travolta & Olivia Newton-John,John,6/3/1978
"Too Much, Too Little, Too Late",Johnny Mathis/Deniece Williams,Johnny,5/27/1978
With A Little Luck,Wings,Wings,5/20/1978
If I Can't Have You,Yvonne Elliman,Yvonne,5/6/1978
Night Fever,Bee Gees,Barry,4/29/1978
Night Fever,Bee Gees,Robin,4/29/1978
Night Fever,Bee Gees,Maurice,4/29/1978
(Love Is) Thicker Than Water,Andy Gibb,Andy,3/4/1978
Stayin' Alive,Bee Gees,Barry,2/18/1978
Stayin' Alive,Bee Gees,Robin,2/18/1978
Stayin' Alive,Bee Gees,Maurice,2/18/1978
Baby Come Back,Player,Player,1/21/1978
How Deep Is Your Love,Bee Gees,Barry,12/31/1977
How Deep Is Your Love,Bee Gees,Robin,12/31/1977
How Deep Is Your Love,Bee Gees,Maurice,12/31/1977
You Light Up My Life,Debby Boone,Debby,12/10/1977
Star Wars Theme/Cantina Band,Meco,Meco,10/1/1977
Best Of My Love,The Emotions,The,9/17/1977
I Just Want To Be Your Everything,Andy Gibb,Andy,9/10/1977
Looks Like We Made It,Barry Manilow,Barry,7/16/1977
Da Doo Ron Ron,Shaun Cassidy,Shaun,7/9/1977
Undercover Angel,Alan O'Day,Alan,7/2/1977
Gonna Fly Now,Bill Conti,Bill,6/25/1977
Got To Give It Up (Pt. I),Marvin Gaye,Marvin,6/18/1977
Dreams,Fleetwood Mac,Fleetwood,6/11/1977
I'm Your Boogie Man,KC And The Sunshine Band,KC,6/4/1977
Sir Duke,Stevie Wonder,Stevie,5/28/1977
When I Need You,Leo Sayer,Leo,5/7/1977
Hotel California,Eagles,Eagles,4/30/1977
Southern Nights,Glen Campbell,Glen,4/23/1977
Don't Leave Me This Way,Thelma Houston,Thelma,4/16/1977
Don't Give Up On Us,David Soul,David,4/9/1977
Dancing Queen,ABBA,ABBA,4/2/1977
Rich Girl,Daryl Hall John Oates,Daryl,3/26/1977
"Evergreen (Love Theme From ""A Star Is Born"")",Barbra Streisand,Barbra,3/12/1977
New Kid In Town,Eagles,Eagles,2/19/1977
Blinded By The Light,Manfred Mann's Earth Band,Manfred,2/12/1977
Torn Between Two Lovers,Mary Macgregor,Mary,2/5/1977
Car Wash,Rose Royce,Rose,1/22/1977
I Wish,Stevie Wonder,Stevie,1/15/1977
You Make Me Feel Like Dancing,Leo Sayer,Leo,1/8/1977
You Don't Have To Be A Star (To Be In My Show),"Marilyn McCoo & Billy Davis, Jr.",Marilyn,1/1/1977
Tonight's The Night (Gonna Be Alright),Rod Stewart,Rod,12/25/1976
Rock'n Me,Steve Miller,Steve,10/30/1976
If You Leave Me Now,Chicago,Chicago,10/23/1976
Disco Duck (Part I),Rick Dees & His Cast Of Idiots,Rick,10/9/1976
A Fifth Of Beethoven,Walter Murphy & The Big Apple Band,Walter,10/2/1976
Play That Funky Music,Wild Cherry,Wild,9/25/1976
"(Shake, Shake, Shake) Shake Your Booty",KC And The Sunshine Band,KC,9/4/1976
You Should Be Dancing,Bee Gees,Barry,8/28/1976
You Should Be Dancing,Bee Gees,Robin,8/28/1976
You Should Be Dancing,Bee Gees,Maurice,8/28/1976
Don't Go Breaking My Heart,Elton John & Kiki Dee,Elton,8/21/1976
Kiss And Say Goodbye,The Manhattans,The,7/24/1976
Afternoon Delight,Starland Vocal Band,Starland,7/10/1976
Silly Love Songs,Wings,Wings,6/26/1976
Love Hangover,Diana Ross,Diana,5/29/1976
Boogie Fever,The Sylvers,The,5/8/1976
Welcome Back,John Sebastian,John,5/1/1976
Let Your Love Flow,Bellamy Brothers,Bellamy,4/24/1976
Disco Lady,Johnnie Taylor,Johnnie,4/17/1976
"December, 1963 (Oh, What a Night)",The 4 Seasons,The,3/20/1976
Love Machine (Part 1),The Miracles,The,2/28/1976
Theme From S.W.A.T.,Rhythm Heritage,Rhythm,2/21/1976
50 Ways To Leave Your Lover,Paul Simon,Paul,2/14/1976
Love Rollercoaster,Ohio Players,Ohio,1/24/1976
Theme From Mahogany (Do You Know Where You're Going To),Diana Ross,Diana,1/17/1976
I Write The Songs,Barry Manilow,Barry,1/10/1976
Convoy,C.W. McCall,C.W.,1/3/1976
Saturday Night,Bay City Rollers,Bay,12/27/1975
Let's Do It Again,The Staple Singers,The,12/20/1975
That's The Way (I Like It),KC And The Sunshine Band,KC,12/13/1975
"Fly, Robin, Fly",Silver Convention,Silver,12/6/1975
Island Girl,Elton John,Elton,11/8/1975
Fame,David Bowie,David,9/27/1975
I'm Sorry,John Denver,John,9/20/1975
Rhinestone Cowboy,Glen Campbell,Glen,9/6/1975
Get Down Tonight,KC And The Sunshine Band,KC,8/23/1975
Fallin' In Love,"Hamilton, Joe Frank & Reynolds","Hamilton,",8/16/1975
Jive Talkin',Bee Gees,Barry,8/9/1975
Jive Talkin',Bee Gees,Robin,8/9/1975
Jive Talkin',Bee Gees,Maurice,8/9/1975
One Of These Nights,Eagles,Eagles,7/26/1975
The Hustle,Van McCoy And The Soul City Symphony,Van,7/19/1975
Listen To What The Man Said,Wings,Wings,7/12/1975
Love Will Keep Us Together,Captain & Tennille,Captain,7/5/1975
Sister Golden Hair,America,America,6/7/1975
Thank God I'm A Country Boy,John Denver,John,5/31/1975
Before The Next Teardrop Falls,Freddy Fender,Freddy,5/24/1975
Shining Star,"Earth, Wind & Fire","Earth,",5/17/1975
He Don't Love You (Like I Love You),Tony Orlando & Dawn,Tony,5/10/1975
(Hey Won't You Play) Another Somebody Done Somebody Wrong Song,B.J. Thomas,B.J.,4/19/1975
Philadelphia Freedom,The Elton John Band,The,4/12/1975
Lovin' You,Minnie Riperton,Minnie,3/29/1975
My Eyes Adored You,Frankie Valli,Frankie,3/15/1975
Black Water,The Doobie Brothers,The,3/8/1975
Have You Never Been Mellow,Olivia Newton-John,Olivia,3/1/1975
Pick Up The Pieces,AWB,AWB,2/15/1975
You're No Good,Linda Ronstadt,Linda,2/8/1975
Fire,Ohio Players,Ohio,2/1/1975
Laughter In The Rain,Neil Sedaka,Neil,1/25/1975
Please Mr. Postman,Carpenters,Carpenters,1/18/1975
Mandy,Barry Manilow,Barry,1/11/1975
Lucy In The Sky With Diamonds,Elton John,Elton,1/4/1975
Angie Baby,Helen Reddy,Helen,12/21/1974
Cat's In The Cradle,Harry Chapin,Harry,12/14/1974
Kung Fu Fighting,Carl Douglas,Carl,12/7/1974
I Can Help,Billy Swan,Billy,11/23/1974
Whatever Gets You Thru The Night,John Lennon With The Plastic Ono Nuclear Band,John,11/9/1974
You Ain't Seen Nothing Yet/Free Wheelin',Bachman-Turner Overdrive,Bachman-Turner,11/2/1974
You Haven't Done Nothin,Stevie Wonder,Stevie,10/26/1974
Then Came You,Dionne Warwicke & Spinners,Dionne,10/19/1974
Nothing From Nothing,Billy Preston,Billy,10/12/1974
I Honestly Love You,Olivia Newton-John,Olivia,10/5/1974
Rock Me Gently,Andy Kim,Andy,9/21/1974
"Can't Get Enough Of Your Love, Babe",Barry White,Barry,9/14/1974
I Shot The Sheriff,Eric Clapton,Eric,9/7/1974
(You're) Having My Baby,Paul Anka with Odia Coates,Paul,8/31/1974
The Night Chicago Died,Paper Lace,Paper,8/10/1974
Feel Like Makin' Love,Roberta Flack,Roberta,8/3/1974
ANNIE's SONG,John Denver,John,7/27/1974
Rock Your Baby,George McCrae,George,7/13/1974
Rock The Boat,The Hues Corporation,The,6/29/1974
Sundown,Gordon Lightfoot,Gordon,6/22/1974
"Billy, Don't Be A Hero",Bo Donaldson And The Heywoods,Bo,6/15/1974
Band On The Run,Paul McCartney And Wings,Paul,6/1/1974
The Streak,Ray Stevens,Ray,5/25/1974
The Loco-Motion,Grand Funk,Grand,5/4/1974
TSOP (The Sound Of Philadelphia),MFSB Featuring The Three Degrees,MFSB,4/20/1974
Bennie And The Jets,Elton John,Elton,4/6/1974
Hooked On A Feeling,Blue Swede,Blue,3/30/1974
Sunshine On My Shoulders,John Denver,John,3/23/1974
Dark Lady,Cher,Cher,3/16/1974
Seasons In The Sun,Terry Jacks,Terry,3/9/1974
The Way We Were,Barbra Streisand,Barbra,2/16/1974
Love's Theme,Love Unlimited Orchestra,Love,2/2/1974
You're Sixteen,Ringo Starr,Ringo,1/19/1974
Show And Tell,Al Wilson,Al,1/12/1974
The Joker,The Steve Miller Band,The,1/5/1974
Time In A Bottle,Jim Croce,Jim,12/29/1973
The Most Beautiful Girl,Charlie Rich,Charlie,12/15/1973
Top Of The World,Carpenters,Carpenters,12/1/1973
Photograph,Ringo Starr,Ringo,11/17/1973
Keep On Truckin' (Part 1),Eddie Kendricks,Eddie,11/10/1973
Midnight Train To Georgia,Gladys Knight And The Pips,Gladys,10/27/1973
Angie,The Rolling Stones,Mick,10/13/1973
Half-Breed,Cher,Cher,10/6/1973
We're An American Band,Grand Funk,Grand,9/22/1973
Let's Get It On,Marvin Gaye,Marvin,9/15/1973
Delta Dawn,Helen Reddy,Helen,9/8/1973
Brother Louie,Stories,Stories,8/25/1973
Touch Me In The Morning,Diana Ross,Diana,8/11/1973
The Morning After,Maureen McGovern,Maureen,8/4/1973
"Bad, Bad Leroy Brown",Jim Croce,Jim,7/21/1973
Will It Go Round In Circles,Billy Preston,Billy,7/7/1973
Give Me Love - (Give Me Peace On Earth),George Harrison,George,6/23/1973
Frankenstein,Edgar Winter Group,Edgar,5/19/1973
You Are The Sunshine Of My Life,Stevie Wonder,Stevie,5/12/1973
Tie A Yellow Ribbon Round The Ole Oak Tree,Dawn Featuring Tony Orlando,Dawn,5/5/1973
The Night The Lights Went Out In Georgia,Vicki Lawrence,Vicki,4/7/1973
Killing Me Softly With His Song,Roberta Flack,Roberta,3/24/1973
Love Train,The O'Jays,The,3/17/1973
Crocodile Rock,Elton John,Elton,2/10/1973
Superstition,Stevie Wonder,Stevie,1/20/1973
You're So Vain,Carly Simon,Carly,1/13/1973
Me And Mrs. Jones,Billy Paul,Billy,12/23/1972
I Am Woman,Helen Reddy,Helen,12/2/1972
Papa Was A Rollin' Stone,The Temptations,Otis,11/25/1972
I Can See Clearly Now,Johnny Nash,Johnny,11/18/1972
My Ding-A-Ling,Chuck Berry,Chuck,10/21/1972
Ben,Michael Jackson,Michael,10/7/1972
Baby Don't Get Hooked On Me,Mac Davis,Mac,9/30/1972
Black & White,Three Dog Night,Three,9/9/1972
Alone Again (Naturally),Gilbert O'Sullivan,Gilbert,9/2/1972
Brandy (You're A Fine Girl),Looking Glass,Looking,8/19/1972
Song Sung Blue,Neil Diamond,Neil,6/24/1972
The Candy Man,"Sammy Davis, Jr. with The Mike Curb Congregation",Sammy,6/17/1972
I'll Take You There,The Staple Singers,The,5/27/1972
Oh Girl,The Chi-lites,The,5/20/1972
The First Time Ever I Saw Your Face,Roberta Flack,Roberta,5/13/1972
A Horse With No Name,America,America,4/1/1972
Heart Of Gold,Neil Young,Neil,3/11/1972
Without You,Nilsson,Nilsson,3/4/1972
Let's Stay Together,Al Green,Al,2/5/1972
American Pie (Parts I & II),Don McLean,Don,1/29/1972
Brand New Key,Melanie,Melanie,1/1/1972
Theme From Shaft,Isaac Hayes,Isaac,11/20/1971
"Gypsys, Tramps & Thieves",Cher,Cher,11/6/1971
Maggie May/Reason To Believe,Rod Stewart,Rod,10/23/1971
Go Away Little Girl,Donny Osmond,Donny,9/18/1971
Uncle Albert/Admiral Halsey,Paul & Linda McCartney,Paul,8/28/1971
How Can You Mend A Broken Heart,Bee Gees,Barry,8/21/1971
How Can You Mend A Broken Heart,Bee Gees,Robin,8/21/1971
How Can You Mend A Broken Heart,Bee Gees,Maurice,8/21/1971
You've Got A Friend,James Taylor,James,7/24/1971
Indian Reservation (The Lament Of The Cherokee Reservation Indian),The Raiders,The,7/17/1971
It's Too Late/I Feel The Earth Move,Carole King,Carole,7/10/1971
Want Ads,The Honey Cone,The,6/5/1971
Brown Sugar,The Rolling Stones,Mick,5/29/1971
Joy To The World,Three Dog Night,Three,5/15/1971
Just My Imagination (Running Away With Me),The Temptations,Otis,4/3/1971
Me And Bobby McGee,Janis Joplin,Janis,3/20/1971
One Bad Apple,The Osmonds,The,3/6/1971
Knock Three Times,Dawn,Dawn,1/30/1971
My Sweet Lord/Isn't It A Pity,George Harrison,George,1/9/1971
The Tears Of A Clown,Smokey Robinson & The Miracles,Smokey,12/12/1970
I Think I Love You,The Partridge Family Starring Shirley Jones Featuring David Cassidy,The,11/28/1970
Cracklin' Rosie,Neil Diamond,Neil,10/3/1970
Ain't No Mountain High Enough,Diana Ross,Diana,9/26/1970
War,Edwin Starr,Edwin,9/5/1970
Make It With You,Bread,Bread,8/15/1970
(They Long To Be) Close To You,Carpenters,Carpenters,8/8/1970
Mama Told Me (Not To Come),Three Dog Night,Three,7/11/1970
The Love You Save/I Found That Girl,Jackson 5,Jackson,6/27/1970
The Long And Winding Road/For You Blue,The Beatles,John,6/13/1970
The Long And Winding Road/For You Blue,The Beatles,Paul,6/13/1970
The Long And Winding Road/For You Blue,The Beatles,George,6/13/1970
The Long And Winding Road/For You Blue,The Beatles,Ringo,6/13/1970
Everything Is Beautiful,Ray Stevens,Ray,5/30/1970
American Woman/No Sugar Tonight,The Guess Who,The,5/16/1970
ABC,Jackson 5,Jackson,4/25/1970
Let It Be,The Beatles,John,4/11/1970
Let It Be,The Beatles,Paul,4/11/1970
Let It Be,The Beatles,George,4/11/1970
Let It Be,The Beatles,Ringo,4/11/1970
Bridge Over Troubled Water,Simon & Garfunkel,Simon,3/28/1970
Thank You Falettinme Be Mice Elf Agin/Everybody Is A Star,Sly & The Family Stone,Sly,2/14/1970
I Want You Back,Jackson 5,Jackson,1/24/1970
Raindrops Keep Fallin' On My Head,B.J. Thomas,B.J.,1/17/1970
Someday We'll Be Together,Diana Ross & The Supremes,Diana,12/20/1969
Leaving On A Jet Plane,"Peter, Paul & Mary","Peter,",12/13/1969
Na Na Hey Hey Kiss Him Goodbye,Steam,Steam,12/6/1969
Come Together/Something,The Beatles,John,11/22/1969
Come Together/Something,The Beatles,Paul ,11/22/1969
Come Together/Something,The Beatles,George,11/22/1969
Come Together/Something,The Beatles,Ringo,11/22/1969
Wedding Bell Blues,The 5th Dimension,The,11/15/1969
Suspicious Minds,Elvis Presley,Elvis,10/25/1969
I Can't Get Next To You,The Temptations,Otis,10/18/1969
"Sugar, Sugar",The Archies,The,10/4/1969
Honky Tonk Women,The Rolling Stones,Mick,9/6/1969
In The Year 2525,Zager & Evans,Zager,8/9/1969
Love Theme From Romeo & Juliet,Henry Mancini And His Orchestra,Henry,6/28/1969
Get Back,The Beatles With Billy Preston,John,6/14/1969
Get Back,The Beatles With Billy Preston,Paul,6/14/1969
Get Back,The Beatles With Billy Preston,George,6/14/1969
Get Back,The Beatles With Billy Preston,Ringo,6/14/1969
Aquarius/Let The Sunshine In,The 5th Dimension,The,5/10/1969
Dizzy,Tommy Roe,Tommy,3/29/1969
Everyday People,Sly & The Family Stone,Sly,3/1/1969
Crimson And Clover,Tommy James And The Shondells,Tommy,2/1/1969
I Heard It Through The Grapevine,Marvin Gaye,Marvin,1/18/1969
Love Child,Diana Ross & The Supremes,Diana,11/30/1968
Hey Jude,The Beatles,John,11/16/1968
Hey Jude,The Beatles,Paul,11/16/1968
Hey Jude,The Beatles,George,11/16/1968
Hey Jude,The Beatles,Ringo,11/16/1968
Harper Valley P.T.A.,Jeannie C. Riley,Jeannie,9/14/1968
People Got To Be Free,The Rascals,The,9/7/1968
"Hello, I Love You",The Doors,Jim,8/3/1968
Grazing In The Grass,Hugh Masekela,Hugh,7/20/1968
This Guy's In Love With You,Herb Alpert,Herb,7/6/1968
Mrs. Robinson,Simon & Garfunkel,Simon,6/8/1968
Tighten Up,Archie Bell & The Drells,Archie,5/18/1968
(Sittin' On) The Dock Of The Bay,Otis Redding,Otis,3/30/1968
Love Is Blue (L'amour Est Bleu),Paul Mauriat And His Orchestra,Paul,3/2/1968
Green Tambourine,The Lemon Pipers,The,1/27/1968
Judy In Disguise (With Glasses),John Fred And The Playboys,John,1/20/1968
Hello Goodbye,The Beatles,John,1/6/1968
Hello Goodbye,The Beatles,Paul,1/6/1968
Hello Goodbye,The Beatles,George,1/6/1968
Hello Goodbye,The Beatles,Ringo,1/6/1968
Daydream Believer,The Monkees,The,12/16/1967
Incense And Peppermints,Strawberry Alarm Clock,Strawberry,11/18/1967
To Sir With Love,Lulu,Lulu,11/11/1967
The Letter,The Box Tops,The,10/7/1967
Ode To Billie Joe,Bobbie Gentry,Bobbie,9/9/1967
All You Need Is Love,The Beatles,John,8/12/1967
All You Need Is Love,The Beatles,Paul,8/12/1967
All You Need Is Love,The Beatles,George,8/12/1967
All You Need Is Love,The Beatles,Ringo,8/12/1967
Light My Fire,The Doors,Jim,8/5/1967
Windy,The Association,The,7/15/1967
Groovin',The Young Rascals,The,6/17/1967
Respect,Aretha Franklin,Aretha,6/3/1967
The Happening,The Supremes,The,5/6/1967
Somethin' Stupid,Nancy Sinatra & Frank Sinatra,Nancy,4/29/1967
Happy Together,The Turtles,The,4/1/1967
Penny Lane,The Beatles,John,3/11/1967
Penny Lane,The Beatles,Paul,3/11/1967
Penny Lane,The Beatles,George,3/11/1967
Penny Lane,The Beatles,Ringo,3/11/1967
Love Is Here And Now You're Gone,The Supremes,The,3/4/1967
Ruby Tuesday,The Rolling Stones,Mick,2/25/1967
Kind Of A Drag,The Buckinghams,The,2/18/1967
I'm A Believer,The Monkees,The,2/4/1967
Winchester Cathedral,The New Vaudeville Band,The,12/17/1966
Poor Side Of Town,Johnny Rivers,Johnny,11/5/1966
Last Train To Clarksville,The Monkees,The,10/29/1966
96 Tears,? (Question Mark) & The Mysterians,?,10/22/1966
Reach Out I'll Be There,Four Tops,Four,10/15/1966
Cherish,The Association,The,10/1/1966
You Can't Hurry Love,The Supremes,The,9/10/1966
Sunshine Superman,Donovan,Donovan,8/27/1966
