Name,Year,Movie
Chadwick,2018,Black Panther
Michael,2018,Black Panther
Lupita,2018,Black Panther
Danai,2018,Black Panther
"""TChalla""",2018,Black Panther
Erik,2018,Black Panther
Shuri,2018,Black Panther
Okoye,2018,Black Panther
"""WKabi""",2018,Black Panther
Mark,2003,The Italian Job
Charlize,2003,The Italian Job
Donald,2003,The Italian Job
Jason,2003,The Italian Job
Pete,2003,The Italian Job
Rob,2003,The Italian Job
Stella,2003,The Italian Job
John,2003,The Italian Job
Charlie,2003,The Italian Job
Steve,2003,The Italian Job
Mashkov,2003,The Italian Job
Yevhen,2003,The Italian Job
Humphrey,1942,Casablanca
Ingrid,1942,Casablanca
Paul,1942,Casablanca
Claude,1942,Casablanca
Ilsa,1942,Casablanca
Rick,1942,Casablanca
Victor,1942,Casablanca
Heinrich,1942,Casablanca
Ugarte,1942,Casablanca
Louis,1942,Casablanca
Carl,1942,Casablanca
Annina,1942,Casablanca
Billy,1989,When Harry Met Sally
Meg,1989,When Harry Met Sally
Carrie,1989,When Harry Met Sally
Bruno,1989,When Harry Met Sally
Harry,1989,When Harry Met Sally
Sally,1989,When Harry Met Sally
Audrey,1961,Breakfast at Tiffany's
George,1961,Breakfast at Tiffany's
Patricia,1961,Breakfast at Tiffany's
Buddy,1961,Breakfast at Tiffany's
Tiffany,1961,Breakfast at Tiffany's
Holly,1961,Breakfast at Tiffany's
Paul,1961,Breakfast at Tiffany's
Rusty,1961,Breakfast at Tiffany's
Sally,1961,Breakfast at Tiffany's
Reese,2001,Legally Blonde
Luke,2001,Legally Blonde
Selma,2001,Legally Blonde
Matthew,2001,Legally Blonde
Elle,2001,Legally Blonde
Chutney,2001,Legally Blonde
Warner,2001,Legally Blonde
Paulette,2001,Legally Blonde
Vivian,2001,Legally Blonde
Emmett,2001,Legally Blonde
Serena,2001,Legally Blonde
Judy,1939,The Wizard of Oz
Frank,1939,The Wizard of Oz
Ray,1939,The Wizard of Oz
Bert,1939,The Wizard of Oz
Dorothy,1939,The Wizard of Oz
Glinda,1939,The Wizard of Oz
